"DATE","NUMBER","CUSTOMERS","KGS NETTO","PEMBELIAN"
"3-Jan-22","1/MMP-PE-TSJ/I/2022","TOHO BUSSAN KAISHA, LTD.","10,246.56","Debit"
"3-Jan-22","1/MMP-PE-TBK/I/2022(S)","TOHO BUSSAN KAISHA, LTD.","14.00","Debit"
"3-Jan-22","1/MMP-PE-MRH/I/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"4-Jan-22","1/MMP-NCR/I/2022(S)","NICHIREI FRESH INC.","8.41","Debit"
"4-Jan-22","1/MMP-SQ-TW/I/2022","SEA QUEENLET/ORIENT","10,463.00","Cek"
"4-Jan-22","1/MMP-SQ-PE/I/2022","SEA QUEENLET/ORIENT","1,844.40","Debit"
"5-Jan-22","1/MMP-PDNCR/I/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"5-Jan-22","1/MMP-NCR-PM/I/2022","NICHIREI FRESH INC.","2.48","Debit"
"5-Jan-22","1/MMP-PE-TYR/I/2022","TOYO REIZO CO., LTD","6,156.00","Cek"
"5-Jan-22","1/MMP-NPE/I/2022","TOHO BUSSAN KAISHA, LTD.","15,180.00","Cek"
"6-Jan-22","1/MMP-PE-OKY/I/2022","OKAYA AND CO., LTD","13,600.00","Cek"
"7-Jan-22","2/MMP-PDNCR/I/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"10-Jan-22","1/MMP-SC-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","8,753.64","Debit"
"11-Jan-22","1/MMP-NCR/I/2022","NICHIREI FRESH INC.","9,520.80","Debit"
"11-Jan-22","1/MMP-NCP/I/2022","NICHIREI FRESH INC.","7,620.00","Debit"
"11-Jan-22","1/MMP-PE-NCR/I/2022(S)","NICHIREI FRESH INC.","6.85","Debit"
"11-Jan-22","2/MMP-PE-OKY/I/2022","OKAYA AND CO., LTD","5,922.00","Debit"
"12-Jan-22","2/MMP-SC-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","8,753.64","Debit"
"12-Jan-22","1/PMM-NCR-USA/I/2022","AN DERINGER, USA","13,295.36","Debit"
"15-Jan-22","3/MMP-SC-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","8,382.36","Debit"
"18-Jan-22","3/MMP-PDNCR/I/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"18-Jan-22","1/MMP-JCU-PD/I/2022","TOHO BUSSAN KAISHA, LTD.","1,170.00","Debit"
"18-Jan-22","1/MMP-JCU-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","9,164.88","Debit"
"18-Jan-22","1/MMP-TBK/PM/I/2022","TOHO BUSSAN KAISHA, LTD.","189.40","Debit"
"19-Jan-22","1/MMP-NP-SM/I/2022","TOHO BUSSAN KAISHA, LTD.","7,712.00","Debit"
"19-Jan-22","1/MMP-KN/I/2022","TOHO BUSSAN KAISHA, LTD.","756.00","Debit"
"19-Jan-22","2/MMP-KN/I/2022","TOHO BUSSAN KAISHA, LTD.","2,112.00","Debit"
"19-Jan-22","2/MMP-PE-TSJ/I/2022","TOHO BUSSAN KAISHA, LTD.","7,929.60","Debit"
"19-Jan-22","1/MMP-FS/TBK/I/2022(S)","TOHO BUSSAN KAISHA, LTD.","7.00","Debit"
"22-Jan-22","1/MMP-PE-DNS/I/2022","TOHO BUSSAN KAISHA, LTD.","9,031.68","Debit"
"22-Jan-22","2/MMP-NCR/I/2022","NICHIREI FRESH INC.","2,180.80","Debit"
"22-Jan-22","2/MMP-NCP/I/2022","NICHIREI FRESH INC.","12,837.60","Debit"
"22-Jan-22","1/MMP-FS/-NCR/I/2022(S)","NICHIREI FRESH INC.","3.09","Debit"
"22-Jan-22","3/MMP-KN/I/2022","TOHO BUSSAN KAISHA, LTD.","10,281.60","Cek"
"25-Jan-22","2/MMP-JCU-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","9,424.80","Cek"
"25-Jan-22","1/PMM-EFC/I/2022","EASTERN FISH COMPANY LLC","15,935.40","Cek"
"26-Jan-22","3/MMP-PE-TSJ/I/2022","TOHO BUSSAN KAISHA, LTD.","9,532.80","Cek"
"26-Jan-22","4/MMP-PDNCR/I/2022","NICHIREI FRESH INC.","15,080.00","Cek"
"26-Jan-22","3/MMP-NCR/I/2022","NICHIREI FRESH INC.","5,365.20","Debit"
"26-Jan-22","3/MMP-NCP/I/2022","NICHIREI FRESH INC.","10,155.60","Debit"
"27-Jan-22","1/MMP-JCCU/I/2022(S)","JAPANESE CONSUMERS CO-OPERATIVE","6.08","Debit"
"28-Jan-22","2/MMP-SQ-TW/I/2022","SEA QUEENLET/ORIENT","12,289.00","Cek"
"28-Jan-22","2/MMP-SQ-PE/I/2022","SEA QUEENLET/ORIENT","492.00","Debit"
"28-Jan-22","1/MMP-OKY-SS/I/2022","OKAYA AND CO., LTD","6,943.14","Debit"
"28-Jan-22","3/MMP-JCU-PE/I/2022","TOHO BUSSAN KAISHA, LTD.","8,829.12","Debit"
"28-Jan-22","2/MMP-JCU-PD/I/2022","TOHO BUSSAN KAISHA, LTD.","1,170.00","Debit"
"2-Feb-22","2/MMP-PE-TYR/II/2022","TOYO REIZO CO., LTD","3,492.72","Debit"
"2-Feb-22","2/MMP-PE-MRH/II/2022","MARUHA NICHIRO CORPORATION","5,292.00","Cek"
"2-Feb-22","5/MMP-PDNCR/II/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"2-Feb-22","1/PMM-LWC/II/2022","LAWRENCE WHOLESALE LLC","15,254.40","Cek"
"3-Feb-22","3/MMP-PE-OKY/II/2022","OKAYA AND CO., LTD","16,048.00","Cek"
"3-Feb-22","4/MMP-PE-TSJ/II/2022","TOHO BUSSAN KAISHA, LTD.","8,971.20","Debit"
"3-Feb-22","1/MMP-PE-EF/II/2022","TOHO BUSSAN KAISHA, LTD.","1,000.00","Debit"
"3-Feb-22","2/MMP-PE-TBK/II/2022(S)","TOHO BUSSAN KAISHA, LTD.","0.99","Debit"
"3-Feb-22","2/MMP-TBK-PM/II/2022","TOHO BUSSAN KAISHA, LTD.","9.70","Debit"
"7-Feb-22","4/MMP-JCU-PE/II/2022","TOHO BUSSAN KAISHA, LTD.","9,090.00","Cek"
"7-Feb-22","3/MMP-TBK-PM/II/2022","TOHO BUSSAN KAISHA, LTD.","258.05","Debit"
"9-Feb-22","6/MMP-PDNCR/II/2022","NICHIREI FRESH INC.","15,070.00","Cek"
"9-Feb-22","4/MMP-NCR/II/2022","NICHIREI FRESH INC.","5,898.96","Cek"
"9-Feb-22","4/MMP-NCP/II/2022","NICHIREI FRESH INC.","8,546.10","Cek"
"9-Feb-22","3/MMP-SQ-PE/II/2022","SEA QUEENLET/ORIENT","986.56","Debit"
"9-Feb-22","3/MMP-SQ-TW/II/2022","SEA QUEENLET/ORIENT","14,804.00","Cek"
"12-Feb-22","1/MMP-PE-YCY/II/2022","YACHIYO CORPORATION","8,700.00","Debit"
"14-Feb-22","4/MMP-PE-OKY/II/2022","OKAYA AND CO., LTD","13,600.00","Debit"
"14-Feb-22","4/MMP-KN/II/2022","TOHO BUSSAN KAISHA, LTD.","876.00","Debit"
"14-Feb-22","2/MMP-PE-DNS/II/2022","TOHO BUSSAN KAISHA, LTD.","3,225.92","Debit"
"14-Feb-22","2/MMP-NP-SM/II/2022","TOHO BUSSAN KAISHA, LTD.","6,600.00","Debit"
"14-Feb-22","4/MMP-TBK-PM/II/2022","TOHO BUSSAN KAISHA, LTD.","55.35","Debit"
"14-Feb-22","1/MMP-OKY/II/2022(S)","OKAYA AND CO., LTD","2.22","Debit"
"15-Feb-22","5/MMP-JCU-PE/II/2022","TOHO BUSSAN KAISHA, LTD.","8,402.88","Debit"
"15-Feb-22","3/MMP-JCU-PD/II/2022","TOHO BUSSAN KAISHA, LTD.","1,560.00","Debit"
"17-Feb-22","5/MMP-NCR/II/2022","NICHIREI FRESH INC.","6,449.60","Debit"
"17-Feb-22","5/MMP-NCP/II/2022","NICHIREI FRESH INC.","7,545.60","Debit"
"19-Feb-22","2/PMM-EFC/II/2022","EASTERN FISH COMPANY LLC","13,101.80","Cek"
"19-Feb-22","4/PMM-NCR-USA/II/2022","AN DERINGER, USA","13,023.60","Debit"
"1-Mar-22","2/MMP-NCR/III/2022","NICHIREI FRESH INC.","37.95","Debit"
"1-Mar-22","2/MMP-JCCU/III/2022(S)","JAPANESE CONSUMERS CO-OPERATIVE","3.90","Debit"
"24-Feb-22","1/MMP-NS/II/2022","NORDIC SEAFOOD A/S","7.88","Debit"
"1-Mar-22","4/MMP-JCU-PD/III/2022","TOHO BUSSAN KAISHA, LTD.","1,560.00","Debit"
"1-Mar-22","6/MMP-JCU-PE/III/2022","TOHO BUSSAN KAISHA, LTD.","8,402.88","Debit"
"1-Mar-22","5/MMP-PE-TSJ/III/2022","TOHO BUSSAN KAISHA, LTD.","2,620.80","Debit"
"1-Mar-22","1/MMP-PE-MK/III/2022","TOHO BUSSAN KAISHA, LTD.","933.80","Debit"
"1-Mar-22","6/MMP-TSJ/III/2022","TOHO BUSSAN KAISHA, LTD.","7,667.14","Debit"
"2-Mar-22","3/MMP-PE-MRH/III/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"2-Mar-22","5/MMP-PE-OKY/III/2022","OKAYA AND CO., LTD","16,048.00","Cek"
"2-Mar-22","7/MMP-PDNCR/III/2022","NICHIREI FRESH INC.","9,400.00","Debit"
"2-Mar-22","7/MMP-PDNCP/III/2022","NICHIREI FRESH INC.","5,262.00","Debit"
"2-Mar-22","6/MMP-NCP/III/2022","NICHIREI FRESH INC.","5,233.76","Debit"
"2-Mar-22","6/MMP-NCR/III/2022","NICHIREI FRESH INC.","6,696.00","Debit"
"5-Mar-22","1/MMP-JM=PE/III/2022","TOHO BUSSAN KAISHA, LTD.","7,996.80","Cek"
"5-Mar-22","7/MMP-PE-TSJ/III/2022","TOHO BUSSAN KAISHA, LTD.","3,348.86","Cek"
"5-Mar-22","8/MMP-PE-TSJ/III/2022","TOHO BUSSAN KAISHA, LTD.","7,397.40","Debit"
"7-Mar-22","1/MMP-AM/III/2022","AQUAMARINES","7.00","Debit"
"7-Mar-22","1/MMP-KBL-PE/III/2022","KIANG HUAT SEAGULL","4,746.14","Debit"
"8-Mar-22","8/MMP-PDNCR/III/2022","NICHIREI FRESH INC.","15,120.00","Cek"
"9-Mar-22","3/MMP-PE-TYR/III/2022","TOYO REIZO CO., LTD","6,117.12","Cek"
"10-Mar-22","2/MMP-OKY-SS/III/2022","OKAYA AND CO., LTD","7,104.00","Debit"
"12-Mar-22","9/MMP-PDNCR/III/2022","NICHIREI FRESH INC.","15,000.00","Debit"
"12-Mar-22","2/MMP-AM/III/2022","AQUAMARINES","7.00","Debit"
"15-Mar-22","10/MMP-PDNCR/III/2022","NICHIREI FRESH INC.","15,120.00","Cek"
"15-Mar-22","2/MMP-PE-NCR/III/2022(S)","NICHIREI FRESH INC.","8.56","Debit"
"15-Mar-22","7/MMP-JCU-PE/III/2022","TOHO BUSSAN KAISHA, LTD.","9,042.00","Debit"
"15-Mar-22","5/MMP-TBK-PM/III/2022","TOHO BUSSAN KAISHA, LTD.","104.75","Debit"
"15-Mar-22","4/MMP-SQ-TW/III/2022","SEA QUEENLET/ORIENT","10,100.40","Debit"
"15-Mar-22","4/MMP-SQ-PE/III/2022","SEA QUEENLET/ORIENT","362.22","Debit"
"16-Mar-22","5/MMP-KN/III/2022","TOHO BUSSAN KAISHA, LTD.","9,622.80","Debit"
"16-Mar-22","2/MMP-NPE/III/2022","TOHO BUSSAN KAISHA, LTD.","960.00","Debit"
"16-Mar-22","6/MMP-TBK-PM/III/2022","TOHO BUSSAN KAISHA, LTD.","40.68","Debit"
"16-Mar-22","11/MMP-PDNCR/III/2022","NICHIREI FRESH INC.","15,080.00","Cek"
"17-Mar-22","1/MMP-GDS/III/2022","GALLANT DACHAN SEAFOOD CO., LTD.","1,884.00","Debit"
"17-Mar-22","1/MMP-GDR/III/2022","GALLANT DACHAN SEAFOOD CO., LTD.","1,641.60","Debit"
"17-Mar-22","1/MMP-GDP/III/2022","GALLANT DACHAN SEAFOOD CO., LTD.","6,398.40","Debit"
"17-Mar-22","2/MMP-PE-YCY/III/2022","YACHIYO CORPORATION","8,790.00","Debit"
"19-Mar-22","7/MMP-NCR/III/2022","NICHIREI FRESH INC.","5,222.88","Debit"
"19-Mar-22","7/MMP-NCP/III/2022","NICHIREI FRESH INC.","8,872.20","Debit"
"19-Mar-22","7/MMP-NCS/III/2022","NICHIREI FRESH INC.","76.80","Debit"
"19-Mar-22","4/MMP-PE-MRH/III/2022","MARUHA NICHIRO CORPORATION","6,626.40","Debit"
"19-Mar-22","3/MMP-EFC/III/2022","EASTERN FISH COMPANY LLC","12,006.35","Cek"
"19-Mar-22","2/MMP-LWC/III/2022","LAWRENCE WHOLESALE LLC","15,254.40","Cek"
"21-Mar-22","5/MMP-JCU-PD/III/2022","TOHO BUSSAN KAISHA, LTD.","2,730.00","Debit"
"21-Mar-22","8/MMP-JCU-PE/III/2022","TOHO BUSSAN KAISHA, LTD.","7,690.20","Debit"
"21-Mar-22","12/MMP-PDNCR/III/2022","NICHIREI FRESH INC.","15,080.00","Debit"
"21-Mar-22","5/MMP-PE-MRH/III/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"22-Mar-22","1/MMP-FGE-TW/III/2022","FIRST GRADE ENTERPRISES CO., LTD","2,400.00","Debit"
"22-Mar-22","1/MMP-FGE-TV/III/2022","FIRST GRADE ENTERPRISES CO., LTD","10,260.00","Cek"
"23-Mar-22","6/MMP-PE-OKY/III/2022","OKAYA AND CO., LTD","7,717.20","Debit"
"23-Mar-22","1/MMP-PE-MAR/III/2022","TOHO BUSSAN KAISHA, LTD.","3,840.00","Debit"
"23-Mar-22","3/MMP-PE-DNS/III/2022","TOHO BUSSAN KAISHA, LTD.","1,305.60","Debit"
"23-Mar-22","3/MMP-NP-SM/III/2022","TOHO BUSSAN KAISHA, LTD.","4,240.00","Debit"
"23-Mar-22","1/MMP-EC-PE/III/2022","TOHO BUSSAN KAISHA, LTD.","1,920.00","Debit"
"23-Mar-22","6/MMP-KN/III/2022","TOHO BUSSAN KAISHA, LTD.","658.80","Debit"
"23-Mar-22","7/MMP-TBK-PM/III/2022","TOHO BUSSAN KAISHA, LTD.","11.90","Debit"
"23-Mar-22","5/MMP-SQ-TW/III/2022","SEA QUEENLET/ORIENT","13,113.00","Cek"
"23-Mar-22","5/MMP-SQ-PE/III/2022","SEA QUEENLET/ORIENT","749.25","Debit"
"24-Mar-22","1/MMP-TBK/III/2022(S)","TOHO BUSSAN KAISHA, LTD.","9.68","Debit"
"24-Mar-22","2/MMP-TBK/III/2022(S)","TOHO BUSSAN KAISHA, LTD.","5.00","Debit"
"25-Mar-22","9/MMP-PE-TSJ/III/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"28-Mar-22","9/MMP-JCU-PE/III/2022","TOHO BUSSAN KAISHA, LTD.","7,295.28","Debit"
"28-Mar-22","6/MMP-JCU-PD/III/2022","TOHO BUSSAN KAISHA, LTD.","2,730.00","Debit"
"29-Mar-22","3/MMP-PE-YCY/III/2022","YACHIYO CORPORATION","8,790.00","Debit"
"29-Mar-22","10/MMP-PE-TSJ/III/2022","TOHO BUSSAN KAISHA, LTD.","6,177.60","Debit"
"30-Mar-22","8/MMP-NCR/III/2022","NICHIREI FRESH INC.","15,188.00","Debit"
"30-Mar-22","7/MMP-PE-OKY/III/2022","OKAYA AND CO., LTD","13,464.00","Cek"
"2-Apr-22","6/MMP-PE-MRH/IV/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"4-Apr-22","2/MMP-FS-NCR/IV/2022(S)","NICHIREI FRESH INC.","42.65","Debit"
"4-Apr-22","13/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,000.00","Cek"
"4-Apr-22","14/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,070.00","Cek"
"4-Apr-22","4/MMP-SC-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","5,967.00","Debit"
"6-Apr-22","4/MMP-PE-TYR/IV/2022","TOYO REIZO CO., LTD","2,246.40","Debit"
"6-Apr-22","7/MMP-PE-MRH/IV/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"9-Apr-22","15/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","13,608.00","Debit"
"9-Apr-22","7/MMP-KN/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,644.00","Debit"
"9-Apr-22","2/MMP-EC-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,920.00","Debit"
"9-Apr-22","2/MMP-PE-MAR/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,440.00","Debit"
"9-Apr-22","3/MMP-NPE/IV/2022","TOHO BUSSAN KAISHA, LTD.","7,820.00","Debit"
"11-Apr-22","1/MMP-MRHN/IV/2022(S)","MARUHA NICHIRO CORPORATION","2.67","Debit"
"11-Apr-22","6/MMP-SQ-TW/IV/2022","SEA QUEENLET/ORIENT","15,242.40","Cek"
"11-Apr-22","6/MMP-SQ-TR/IV/2022","SEA QUEENLET/ORIENT","176.00","Debit"
"11-Apr-22","7/MMP-JCU-PD/IV/2022","TOHO BUSSAN KAISHA, LTD.","2,730.00","Debit"
"11-Apr-22","10/MMP-JCU-PE/IV/2022","TOHO BUSSAN KAISHA, LTD.","7,308.00","Debit"
"11-Apr-22","8/MMP-TBK-PM/IV/2022","TOHO BUSSAN KAISHA, LTD.","143.09","Debit"
"12-Apr-22","4/MMP-NP-SM/IV/2022","TOHO BUSSAN KAISHA, LTD.","5,296.00","Debit"
"12-Apr-22","4/MMP-PE-DNS/IV/2022","TOHO BUSSAN KAISHA, LTD.","4,173.12","Debit"
"13-Apr-22","9/MMP-NCR/IV/2022","NICHIREI FRESH INC.","3,195.12","Debit"
"13-Apr-22","9/MMP-NCP/IV/2022","NICHIREI FRESH INC.","11,733.60","Cek"
"13-Apr-22","9/MMP-NCS/IV/2022","NICHIREI FRESH INC.","92.16","Debit"
"13-Apr-22","16/MMP-PDNCR/IV/2022","NICHIREI FRESH INC.","15,100.00","Cek"
"13-Apr-22","8/MMP-PE-OKY/IV/2022","OKAYA AND CO., LTD","13,600.00","Debit"
"16-Apr-22","2/MMP-PE-MK/IV/2022","TOHO BUSSAN KAISHA, LTD.","1,610.00","Debit"
"16-Apr-22","11/MMP-PE-TSJ/IV/2022","TOHO BUSSAN KAISHA, LTD.","3,840.00","Debit"
